Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,64.129997,65.019997,63.599998,64.639999,63.967140,2305600
2016-03-29,64.510002,66.379997,64.440002,66.029999,65.342674,3287500
2016-03-30,66.730003,67.160004,66.279999,66.410004,65.718712,2458300
2016-03-31,66.330002,67.099998,65.699997,66.110001,65.421837,2265000
2016-04-01,65.360001,66.120003,65.129997,65.919998,65.233818,2160500
2016-04-04,66.000000,66.489998,65.379997,65.739998,65.055679,2029600
2016-04-05,65.099998,65.959999,65.050003,65.449997,64.768715,2281800
2016-04-06,65.669998,66.070000,65.250000,65.830002,65.144753,1652900
2016-04-07,65.699997,65.910004,63.669998,63.930000,63.264526,2921700
2016-04-08,64.120003,64.699997,63.279999,64.239998,63.571301,2352000
2016-04-11,64.389999,64.400002,63.119999,63.160000,62.502552,1862900
2016-04-12,63.139999,63.150002,61.900002,62.959999,62.304623,2960800
2016-04-13,63.040001,65.029999,62.910000,64.769997,64.095787,3106700
2016-04-14,64.849998,65.239998,64.430000,64.940002,64.264015,2100600
2016-04-15,65.139999,66.970001,64.459999,66.839996,66.144241,4647400
2016-04-18,66.279999,66.559998,65.459999,66.519997,65.827553,2847200
2016-04-19,66.589996,66.739998,65.330002,66.190002,65.501007,1903500
2016-04-20,66.599998,66.739998,65.699997,65.800003,65.115067,1804400
2016-04-21,65.830002,66.330002,65.230003,66.180000,65.491119,1741700
2016-04-22,65.900002,66.849998,65.320000,65.870003,65.184341,2606400
2016-04-25,65.430000,66.000000,65.419998,65.930000,65.243713,1153300
2016-04-26,65.970001,66.290001,65.169998,65.330002,64.649963,1516800
2016-04-27,65.129997,65.419998,62.349998,63.349998,62.690567,5537400
2016-04-28,63.119999,64.019997,61.910000,62.320000,61.671288,4233500
2016-04-29,61.810001,62.419998,61.230000,61.849998,61.206184,3729200
2016-05-02,62.000000,63.119999,61.700001,62.889999,62.235355,3360400
2016-05-03,62.610001,63.230000,62.020000,62.080002,61.433788,3230100
2016-05-04,61.740002,62.480000,61.099998,61.880001,61.235870,3212800
2016-05-05,62.279999,62.759998,61.180000,62.240002,61.592125,4874100
2016-05-06,62.189999,63.990002,61.990002,63.939999,63.274426,3362800
2016-05-09,64.180000,65.040001,64.010002,64.519997,63.848377,3044600
2016-05-10,65.000000,65.099998,63.730000,64.540001,63.868176,7604400
2016-05-11,70.430000,74.919998,70.239998,73.379997,72.616165,21901700
2016-05-12,73.629997,76.239998,73.389999,75.010002,74.229195,8201300
2016-05-13,74.730003,76.089996,74.660004,75.199997,74.417206,4189100
2016-05-16,75.070000,77.150002,74.809998,76.620003,75.822441,4329200
2016-05-17,75.720001,76.599998,74.529999,75.139999,74.357841,5105100
2016-05-18,74.699997,74.870003,73.260002,74.489998,73.714607,4432500
2016-05-19,74.220001,74.220001,72.940002,73.500000,72.734917,3236700
2016-05-20,73.480003,74.010002,72.930000,73.110001,72.348976,3772500
2016-05-23,73.389999,73.889999,72.410004,73.239998,72.477623,3248300
2016-05-24,73.680000,75.660004,73.250000,75.349998,74.565651,3781500
2016-05-25,75.389999,75.830002,74.839996,74.940002,74.159927,2002500
2016-05-26,74.629997,75.430000,73.919998,75.110001,74.328163,1853200
2016-05-27,75.330002,76.459999,75.330002,75.699997,74.912010,2311200
2016-05-31,75.980003,76.820000,75.699997,76.750000,75.951088,4700100
2016-06-01,76.809998,77.379997,76.199997,76.620003,75.822441,3260500
2016-06-02,76.720001,76.940002,76.099998,76.580002,75.782852,2062400
2016-06-03,76.699997,76.699997,75.430000,76.360001,75.565132,1863900
2016-06-06,76.370003,76.959999,75.199997,76.489998,75.693787,2816800
2016-06-07,76.860001,78.089996,76.760002,77.250000,76.445877,4215200
2016-06-08,77.059998,77.190002,76.010002,76.279999,75.485962,2527100
2016-06-09,75.589996,76.790001,75.519997,76.250000,75.456291,3055400
2016-06-10,75.410004,76.239998,74.809998,75.279999,74.496376,3025100
2016-06-13,74.889999,75.430000,73.800003,74.239998,73.467216,3680300
2016-06-14,74.139999,74.779999,73.349998,74.519997,73.744293,2017000
2016-06-15,74.559998,75.230003,74.040001,74.389999,73.615654,2409900
